Name,Muscle,Equipment,Type,Video,Image 1,Image 2,Rating
Internal Rotation With Band,shoulder,bands,strength,https://videos.bodybuilding.com/video/mp4/94000/94192m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/884/Male/m/884_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/884/Male/m/884_2.jpg,8.3
Band Pull Apart,shoulder,bands,strength,https://videos.bodybuilding.com/video/mp4/98000/99842m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1351/Male/m/1351_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1351/Male/m/1351_2.jpg,8.2
Back Flyes-With Bands,shoulder,bands,strength,https://videos.bodybuilding.com/video/mp4/24000/25641m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/253/Male/m/253_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/253/Male/m/253_2.jpg,8.1
Lateral Raise - With Bands,shoulder,bands,strength,https://videos.bodybuilding.com/video/mp4/28000/29551m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/258/Male/m/258_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/258/Male/m/258_2.jpg,7.9
Shoulder Raise-With Bands,shoulder,bands,strength,https://videos.bodybuilding.com/video/mp4/30000/30741m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/259/Male/m/259_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/259/Male/m/259_2.jpg,7.6
External Rotation With Band,shoulder,bands,strength,https://videos.bodybuilding.com/video/mp4/94000/94072m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/868/Male/m/868_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/868/Male/m/868_2.jpg,NA
Single-Arm Linear Jammer,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105032m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1741/Male/m/1741_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1741/Male/m/1741_2.jpg,9.5
Clean and Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/98000/99762m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/864/Male/m/864_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/864/Male/m/864_2.jpg,9.4
Push Press,shoulder,barbell,olympic weight lifting,https://videos.bodybuilding.com/video/mp4/78000/78202m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/186/Male/m/186_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/186/Male/m/186_2.jpg,9.3
Clean and Jerk,shoulder,barbell,olympic weight lifting,https://videos.bodybuilding.com/video/mp4/76000/76752m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/670/Male/m/670_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/670/Male/m/670_2.jpg,9.3
Standing Military Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/32000/33121m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/370/Male/m/370_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/370/Male/m/370_2.jpg,9.3
Seated Barbell Military Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/30000/30381m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/382/Male/m/382_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/382/Male/m/382_2.jpg,9.2
Car Drivers,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105072m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1771/Male/m/1771_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1771/Male/m/1771_2.jpg,9
Snatch-Grip Behind-The-Neck Overhead Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/120000/121071m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_2.jpg,9
Barbell Shoulder Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/54000/54711m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/308/Male/m/308_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/308/Male/m/308_2.jpg,8.7
Standing Bradford Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105012m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1721/Male/m/1721_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1721/Male/m/1721_2.jpg,8.7
Barbell Rear Delt Row,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/54000/54701m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/307/Male/m/307_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/307/Male/m/307_2.jpg,8.5
Upright Barbell Row,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/32000/32831m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/365/Male/m/365_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/365/Male/m/365_2.jpg,8.3
Straight Raises on Incline Bench,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105102m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1801/Male/m/1801_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1801/Male/m/1801_2.jpg,8.5
BradfordRocky Presses,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/30000/31861m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/291/Male/m/291_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/291/Male/m/291_2.jpg,8.2
Anti-Gravity Press,shoulder,barbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105112m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1811/Male/m/1811_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1811/Male/m/1811_2.jpg,8.2
One-Arm Kettlebell Push Press,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63182m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/519/Male/m/519_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/519/Male/m/519_2.jpg,9.3
Two-Arm Kettlebell Military Press,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63322m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_2.jpg,8.7
Kettlebell Turkish Get-Up (Squat style),shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63102m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_2.jpg,8.6
Alternating Kettlebell Press,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/62832m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_2.jpg,8.6
One-Arm Kettlebell Snatch,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63202m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/520/Male/m/520_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/520/Male/m/520_2.jpg,8.6
Kettlebell Thruster,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/62852m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/641/Male/m/641_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/641/Male/m/641_2.jpg,8.6
One-Arm Kettlebell Clean and Jerk,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63232m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/643/Male/m/643_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/643/Male/m/643_2.jpg,8.4
Kettlebell Turkish Get-Up (Lunge style),shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63092m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/526/Male/m/526_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/526/Male/m/526_2.jpg,8.2
Kettlebell Pirate Ships,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/104000/105022m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1731/Male/m/1731_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1731/Male/m/1731_2.jpg,7.8
Two-Arm Kettlebell Clean,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63302m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/529/Male/m/529_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/529/Male/m/529_2.jpg,7.5
Double Kettlebell Push Press,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/62912m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/532/Male/m/532_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/532/Male/m/532_2.jpg,7.5
Kettlebell Seated Press,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63052m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/555/Male/m/555_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/555/Male/m/555_2.jpg,7
Double Kettlebell Jerk,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/62892m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/557/Male/m/557_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/557/Male/m/557_2.jpg,7
Kettlebell Arnold Press,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/62972m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/512/Male/m/512_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/512/Male/m/512_2.jpg,6.8
One-Arm Kettlebell Jerk,shoulder,kettlebells,strength,https://videos.bodybuilding.com/video/mp4/62000/63152m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/514/Male/m/514_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/514/Male/m/514_2.jpg,NA
Handstand Push-Ups,shoulder,body only,strength,https://videos.bodybuilding.com/video/mp4/62000/62692m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/227/Male/m/227_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/227/Male/m/227_2.jpg,8.7
Seated Front Deltoid,shoulder,body only,stretching,https://videos.bodybuilding.com/video/mp4/60000/60452m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/619/Male/m/619_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/619/Male/m/619_2.jpg,4.5
Punches,shoulder,body only,cardio,https://videos.bodybuilding.com/video/mp4/116000/117292m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3043/Male/m/3043_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3043/Male/m/3043_2.jpg,NA
Hand Stand Push-Up,shoulder,body only,strength,https://videos.bodybuilding.com/video/mp4/120000/120481m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4261/Male/m/4261_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4261/Male/m/4261_2.jpg,NA
Bear Crawl Fire Feet,shoulder,body only,cardio,https://videos.bodybuilding.com/video/mp4/122000/122972m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5363/Male/m/5363_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5363/Male/m/5363_2.jpg,NA
Wall Shoulder Tap,shoulder,body only,strength,https://videos.bodybuilding.com/video/mp4/122000/123252m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5443/Male/m/5443_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5443/Male/m/5443_2.jpg,NA
Bear Crawl Shoulder Tap,shoulder,body only,strength,https://videos.bodybuilding.com/video/mp4/122000/123002m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5453/Male/m/5453_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/5453/Male/m/5453_2.jpg,NA
Wall Walk,shoulder,body only,strength,https://videos.bodybuilding.com/video/mp4/120000/120371m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4271/Male/m/4271_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4271/Male/m/4271_2.jpg,NA
Smith Machine Overhead Shoulder Press,shoulder,machine,strength,https://videos.bodybuilding.com/video/mp4/30000/30861m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/76/Male/m/76_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/76/Male/m/76_2.jpg,8.9
Leverage Shoulder Press,shoulder,machine,strength,https://videos.bodybuilding.com/video/mp4/90000/90892m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/897/Male/m/897_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/897/Male/m/897_2.jpg,8.9
Reverse Machine Flyes,shoulder,machine,strength,https://videos.bodybuilding.com/video/mp4/94000/94722m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/912/Male/m/912_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/912/Male/m/912_2.jpg,8.2
Machine Shoulder (Military) Press,shoulder,machine,strength,https://videos.bodybuilding.com/video/mp4/28000/29751m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/74/Male/m/74_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/74/Male/m/74_2.jpg,8
Smith Machine One-Arm Upright Row,shoulder,machine,strength,https://videos.bodybuilding.com/video/mp4/106000/106872m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2121/Male/m/2121_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2121/Male/m/2121_2.jpg,7.2
Machine Lateral Raise,shoulder,machine,strength,https://videos.bodybuilding.com/video/mp4/116000/117941m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3391/Male/m/3391_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/3391/Male/m/3391_2.jpg,7.2
Front Cable Raise,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/32000/32271m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/75/Male/m/75_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/75/Male/m/75_2.jpg,8.7
External Rotation with Cable,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/94000/94082m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/869/Male/m/869_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/869/Male/m/869_2.jpg,8.7
Cable Internal Rotation,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/30000/31931m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_2.jpg,8.6
Bent Over Low-Pulley Side Lateral,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/30000/31841m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/73/Male/m/73_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/73/Male/m/73_2.jpg,8.5
Low Pulley Row To Neck,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/32000/32461m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/156/Male/m/156_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/156/Male/m/156_2.jpg,8.5
Seated Cable Shoulder Press,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/94000/94102m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/871/Male/m/871_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/871/Male/m/871_2.jpg,8.5
Cable Rope Rear-Delt Rows,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/30000/31981m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/299/Male/m/299_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/299/Male/m/299_2.jpg,8.4
Face Pull,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/76000/77282m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/681/Male/m/681_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/681/Male/m/681_2.jpg,8.4
Standing Low-Pulley Deltoid Raise,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/58000/59021m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/72/Male/m/72_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/72/Male/m/72_2.jpg,8.3
Cable Rear Delt Fly,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/94000/94062m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/867/Male/m/867_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/867/Male/m/867_2.jpg,8.2
Cable Shoulder Press,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/94000/95112m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/848/Male/m/848_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/848/Male/m/848_2.jpg,8.1
Alternating Cable Shoulder Press,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/104000/105082m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1781/Male/m/1781_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1781/Male/m/1781_2.jpg,8
Cable Seated Lateral Raise,shoulder,cable,strength,https://videos.bodybuilding.com/video/mp4/32000/32001m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/79/Male/m/79_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/79/Male/m/79_2.jpg,6.5
Backward Medicine Ball Throw,shoulder,medicine ball,plyometrics,https://videos.bodybuilding.com/video/mp4/90000/91132m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/764/Male/m/764_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/764/Male/m/764_2.jpg,6.8
Medicine Ball Scoop Throw,shoulder,medicine ball,plyometrics,https://videos.bodybuilding.com/video/mp4/98000/99592m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/805/Male/m/805_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/805/Male/m/805_2.jpg,3.4
Return Push from Stance,shoulder,medicine ball,plyometrics,https://videos.bodybuilding.com/video/mp4/90000/91672m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/811/Male/m/811_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/811/Male/m/811_2.jpg,NA
Standing Two-Arm Overhead Throw,shoulder,medicine ball,plyometrics,https://videos.bodybuilding.com/video/mp4/98000/99642m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/834/Male/m/834_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/834/Male/m/834_2.jpg,NA
Side Laterals to Front Raise,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105092m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1791/Male/m/1791_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1791/Male/m/1791_2.jpg,9.5
Standing Palm-In One-Arm Dumbbell Press,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/32000/33061m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/366/Male/m/366_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/366/Male/m/366_2.jpg,9.4
Standing Palms-In Dumbbell Press,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/32000/33051m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/367/Male/m/367_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/367/Male/m/367_2.jpg,9.3
One-Arm Side Laterals,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/30000/30011m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/173/Male/m/173_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/173/Male/m/173_2.jpg,9.1
Power Partials,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/32000/32531m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/270/Male/m/270_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/270/Male/m/270_2.jpg,9.1
Seated Dumbbell Press,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/32000/32541m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/364/Male/m/364_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/364/Male/m/364_2.jpg,9.1
Standing Dumbbell Straight-Arm Front Delt Raise Above Head,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/32000/33191m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/374/Male/m/374_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/374/Male/m/374_2.jpg,9.1
Reverse Flyes,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/30000/30271m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/375/Male/m/375_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/375/Male/m/375_2.jpg,9.1
Standing Dumbbell Press,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/94000/94772m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/920/Male/m/920_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/920/Male/m/920_2.jpg,9.1
Dumbbell Lying One-Arm Rear Lateral Raise,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/54000/54861m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/319/Male/m/319_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/319/Male/m/319_2.jpg,9
Front Dumbbell Raise,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/28000/29321m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/371/Male/m/371_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/371/Male/m/371_2.jpg,9
Alternating Deltoid Raise,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/94000/94162m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/880/Male/m/880_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/880/Male/m/880_2.jpg,9
Dumbbell Shoulder Press,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/32000/32241m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/328/Male/m/328_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/328/Male/m/328_2.jpg,9
Single Dumbbell Raise,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/104000/105062m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1761/Male/m/1761_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1761/Male/m/1761_2.jpg,9
Standing Alternating Dumbbell Press,shoulder,dumbbell,strength,https://videos.bodybuilding.com/video/mp4/106000/106932m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2151/Male/m/2151_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/2151/Male/m/2151_2.jpg,9
Side Wrist Pull,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/60000/60592m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/m/442_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/m/442_2.jpg,8.4
Upward Stretch,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/60000/60952m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/466/Male/m/466_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/466/Male/m/466_2.jpg,6.7
Shoulder Circles,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/60000/60502m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/496/Male/m/496_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/496/Male/m/496_2.jpg,6.7
Shoulder Stretch,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/60000/60522m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/449/Male/m/449_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/449/Male/m/449_2.jpg,5.9
Elbow Circles,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/58000/59832m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/498/Male/m/498_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/498/Male/m/498_2.jpg,5.3
Arm Circles,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/24000/25621m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/497/Male/m/497_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/497/Male/m/497_2.jpg,5.1
Shoulder Raise,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/60000/60512m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/492/Male/m/492_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/492/Male/m/492_2.jpg,4.1
Kneeling Arm Drill,shoulder,none,stretching,https://videos.bodybuilding.com/video/mp4/98000/99352m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1021/Male/m/1021_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1021/Male/m/1021_2.jpg,4
Front Plate Raise,shoulder,other,strength,https://videos.bodybuilding.com/video/mp4/28000/29341m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/230/Male/m/230_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/230/Male/m/230_2.jpg,8.9
Battling Ropes,shoulder,other,strength,https://videos.bodybuilding.com/video/mp4/104000/105002m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1711/Male/m/1711_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1711/Male/m/1711_2.jpg,8.6
Circus Bell,shoulder,other,strongman,https://videos.bodybuilding.com/video/mp4/78000/78752m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/668/Male/m/668_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/668/Male/m/668_2.jpg,7.7
Crucifix,shoulder,other,strongman,https://videos.bodybuilding.com/video/mp4/76000/76852m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/675/Male/m/675_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/675/Male/m/675_2.jpg,6
Round The World Shoulder Stretch,shoulder,other,stretching,https://videos.bodybuilding.com/video/mp4/60000/60392m.mp4,https://www.bodybuilding.com/exercises/exerciseImages/sequences/435/Male/m/435_1.jpg,https://www.bodybuilding.com/exercises/exerciseImages/sequences/435/Male/m/435_2.jpg,5.3
